fixed points found: 422
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.033667} | theta=['2', '2.978e-30', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.050497} | theta=['2', '2.816e-30', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.108527} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.405523} | theta=['2', '-8.215e-30', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.702713} | theta=['2', '-8.323e-30', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.297287} | theta=['2', '-8.323e-30', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.594477} | theta=['2', '-8.215e-30', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.891473} | theta=['2', '-8.266e-30', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': -0.492962} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.004592} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.502267} | theta=['2', '1.063e-34', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.497733} | theta=['2', '1.063e-34', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.995408} | theta=['2', '9.636e-35', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 2.492962} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.274248} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.516163} | theta=['2', '1.298e-26', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.758081} | theta=['2', '1.266e-26', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.241919} | theta=['2', '1.266e-26', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.483837} | theta=['2', '1.298e-26', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.725752} | theta=['2', '1.345e-26', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': -0.414187} | theta=['2', '2.23e-33', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.296409} | theta=['2', '2.777e-33', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.703591} | theta=['2', '2.777e-33', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 2.414187} | theta=['2', '2.23e-33', '-2'] | relevant=2 | gaussian=False
